detector,text_id,score,word count,average_sentence_length,sentence_length_variability,average_word_length,lexical_diversity
GPTZero,style_dif_cat_arg_p_1,1.0,416,19.916666666666668,4.241786607455449,5.056485355648536,0.45188284518828453
GPTZero,style_dif_cat_arg_p_13,0.9973955738343496,437,23.047619047619047,5.305432974566642,4.851239669421488,0.3925619834710744
GPTZero,style_dif_cat_arg_p_14,0.9977558223168834,443,25.473684210526315,6.449534186906073,4.911157024793388,0.3884297520661157
GPTZero,style_dif_cat_arg_p_16,0.915321344878592,473,22.217391304347824,6.7214481782312525,4.986301369863014,0.4090019569471624
GPTZero,style_dif_cat_arg_p_10,0.9977775103937532,466,24.136363636363637,5.285158505939101,4.928436911487759,0.4369114877589454
GPTZero,style_dif_cat_arg_p_15,0.9826080317224812,451,23.761904761904763,7.569047244566266,4.9318637274549095,0.42685370741482964
GPTZero,style_dif_cat_arg_p_11,0.9825825322814176,471,28.27777777777778,8.696216591514723,4.662082514734774,0.3948919449901768
GPTZero,style_dif_cat_arg_p_12,1.0,424,20.304347826086957,5.295236131816938,4.860813704496788,0.4089935760171306
GPTZero,style_dif_cat_arg_p_0,0.4712338466985307,452,25.842105263157894,5.0581414888906995,5.173116089613035,0.4134419551934827
GPTZero,style_dif_cat_arg_p_17,0.9977558223168834,472,23.954545454545453,5.66927620077666,5.140417457305503,0.40417457305502846
GPTZero,style_dif_cat_arg_p_19,0.9973955738343496,487,24.181818181818183,4.08989886516436,5.208646616541353,0.41729323308270677
GPTZero,style_dif_cat_arg_p_18,0.9977558223168834,421,26.055555555555557,7.959250794051811,5.02771855010661,0.42217484008528783
GPTZero,style_dif_cat_arg_p_7,0.8235569534490451,423,22.714285714285715,5.100420150760692,5.077568134171908,0.43186582809224316
GPTZero,style_dif_cat_arg_p_6,0.9977558223168834,498,27.3,6.241625968995748,5.184981684981685,0.33882783882783885
GPTZero,style_dif_cat_arg_p_2,0.9807071088338744,493,24.5,6.021785844905542,4.714285714285714,0.38961038961038963
GPTZero,style_dif_cat_arg_p_8,0.982251886615535,449,21.869565217391305,5.074932581962291,5.20079522862823,0.44731610337972166
GPTZero,style_dif_cat_arg_p_5,0.819858645701187,474,24.363636363636363,7.188254007128273,4.998134328358209,0.416044776119403
GPTZero,style_dif_cat_arg_p_9,0.915321344878592,442,23.38095238095238,6.476698159372494,4.94704684317719,0.4073319755600815
GPTZero,style_dif_cat_arg_p_3,0.915173930512831,485,22.625,6.964584322313048,4.970534069981584,0.3425414364640884
GPTZero,style_dif_cat_arg_p_4,0.9973955738343496,469,23.636363636363637,4.5097297410889645,5.178846153846154,0.36346153846153845
GPTZero,style_dif_cat_cause_eff_p_1,0.9977558223168834,464,21.333333333333332,5.264042641120628,5.0,0.451171875
GPTZero,style_dif_cat_cause_eff_p_0,0.9977558223168834,474,25.047619047619047,7.664699540596425,5.134980988593156,0.41825095057034223
GPTZero,style_dif_cat_cause_eff_p_12,0.929429835815492,496,26.666666666666668,8.97403662424738,5.007142857142857,0.3892857142857143
GPTZero,style_dif_cat_cause_eff_p_13,0.9825825322814176,468,23.454545454545453,5.0495381469829,4.724806201550388,0.39147286821705424
